TICKER,NAME,SECTOR,DATE_ADDED
AMD,AMD,Information Technology,04.03.57
ED,Con Edison,Utilities,04.03.57
GLW,Corning,Information Technology,04.03.57
DHR,Danaher,Health Care,04.03.57
DRI,Darden,Consumer Discretionary,04.03.57
D,Dominion Energy,Utilities,04.03.57
ETN,Eaton,Industrials,04.03.57
FITB,Fifth Third Bank,Financials,04.03.57
FE,FirstEnergy,Utilities,04.03.57
BEN,Franklin Templeton,Financials,04.03.57
FCX,Freeport-McMoRan,Materials,04.03.57
GE,GE,Industrials,04.03.57
HUM,Humana,Health Care,04.03.57
HBAN,Huntington National Bank,Financials,04.03.57
KLAC,KLA,Information Technology,04.03.57
L,Loews Corporation,Financials,04.03.57
MAR,Marriott International,Consumer Discretionary,04.03.57
MCK,McKesson,Health Care,04.03.57
MET,MetLife,Financials,04.03.57
MCO,Moody's,Financials,04.03.57
MS,Morgan Stanley,Financials,04.03.57
MSI,Motorola Solutions,Information Technology,04.03.57
NI,NiSource,Utilities,04.03.57
NTRS,Northern Trust,Financials,04.03.57
OMC,Omnicom Group,Communication Services,04.03.57
PARA,Paramount,Communication Services,04.03.57
PAYX,Paychex,Information Technology,04.03.57
PNW,Pinnacle West,Utilities,04.03.57
PPL,PPL,Utilities,04.03.57
QCOM,Qualcomm,Information Technology,04.03.57
RTX,Raytheon Technologies,Industrials,04.03.57
ROK,Rockwell Automation,Industrials,04.03.57
SPGI,S&P Global,Financials,04.03.57
SRE,Sempra,Utilities,04.03.57
STT,State Street,Financials,04.03.57
TROW,T. Rowe Price,Financials,04.03.57
TPR,Tapestry,Consumer Discretionary,04.03.57
TXN,Texas Instruments,Information Technology,04.03.57
USB,U.S. Bank,Financials,04.03.57
VLO,Valero,Energy,04.03.57
WM,Waste Management,Industrials,04.03.57
WAT,Waters,Health Care,04.03.57
WRK,WestRock,Materials,04.03.57
WY,Weyerhaeuser,Real Estate,04.03.57
WHR,Whirlpool,Consumer Discretionary,04.03.57
MO,Altria,Consumer Staples,04.03.57
AEP,American Electric Power,Utilities,04.03.57
BA,Boeing,Industrials,04.03.57
BMY,Bristol Myers Squibb,Health Care,04.03.57
CPB,Campbell's,Consumer Staples,04.03.57
CAT,Caterpillar,Industrials,04.03.57
CVX,Chevron,Energy,04.03.57
KO,Coca-Cola,Consumer Staples,04.03.57
CL,Colgate-Palmolive,Consumer Staples,04.03.57
COP,ConocoPhillips,Energy,04.03.57
CVS,CVS Health,Health Care,04.03.57
DE,Deere & Co.,Industrials,04.03.57
DTE,DTE,Utilities,04.03.57
EIX,Edison International,Utilities,04.03.57
ETR,Entergy,Utilities,04.03.57
EXC,Exelon,Utilities,04.03.57
XOM,ExxonMobil,Energy,04.03.57
F,Ford,Consumer Discretionary,04.03.57
GD,General Dynamics,Industrials,04.03.57
HAL,Halliburton,Energy,04.03.57
HIG,Hartford (The),Financials,04.03.57
HSY,Hershey's,Consumer Staples,04.03.57
IBM,IBM,Information Technology,04.03.57
IP,International Paper,Materials,04.03.57
KMB,Kimberly-Clark,Consumer Staples,04.03.57
KR,Kroger,Consumer Staples,04.03.57
MRK,Merck,Health Care,04.03.57
NSC,Norfolk Southern,Industrials,04.03.57
PEP,PepsiCo,Consumer Staples,04.03.57
PFE,Pfizer,Health Care,04.03.57
PPG,PPG Industries,Materials,04.03.57
PG,Procter & Gamble,Consumer Staples,04.03.57
PEG,PSEG,Utilities,04.03.57
SEE,Sealed Air,Materials,04.03.57
SO,Southern Company,Utilities,04.03.57
UNP,Union Pacific,Industrials,04.03.57
XEL,Xcel Energy,Utilities,04.03.57
ABT,Abbott,Health Care,31.03.64
HON,Honeywell,Industrials,31.03.64
HWM,Howmet Aerospace,Industrials,31.03.64
SHW,Sherwin-Williams,Materials,30.06.64
CMI,Cummins,Industrials,31.03.65
EMR,Emerson,Industrials,31.03.65
SLB,Schlumberger,Energy,31.03.65
CSX,CSX,Industrials,30.09.67
CLX,Clorox,Consumer Staples,31.03.69
GIS,General Mills,Consumer Staples,31.03.69
NEM,Newmont,Materials,30.06.69
MCD,McDonald's,Consumer Discretionary,30.06.70
LLY,Lilly,Health Care,31.12.70
BAX,Baxter,Health Care,30.09.72
BDX,Becton Dickinson,Health Care,30.09.72
JNJ,Johnson & Johnson,Health Care,30.06.73
GPC,Genuine Parts,Consumer Discretionary,31.12.73
HPQ,HP,Information Technology,31.12.74
WMB,Williams,Energy,31.03.75
JPM,JPMorgan Chase,Financials,30.06.75
IFF,International Flavors & Fragrances,Materials,31.03.76
AXP,American Express,Financials,30.06.76
BAC,Bank of America,Financials,30.06.76
CI,Cigna,Health Care,30.06.76
DIS,Disney,Communication Services,30.06.76
DUK,Duke Energy,Utilities,30.06.76
LNC,Lincoln Financial,Financials,30.06.76
TAP,Molson Coors,Consumer Staples,30.06.76
NEE,NextEra Energy,Utilities,30.06.76
WFC,Wells Fargo,Financials,30.06.76
MMM,3M,Industrials,09.08.76
INTC,Intel,Information Technology,31.12.76
TGT,Target,Consumer Discretionary,31.12.76
TXT,Textron,Industrials,31.12.78
VFC,VF Corporation,Consumer Discretionary,30.06.79
WBA,Walgreens Boots Alliance,Consumer Staples,31.12.79
AIG,AIG,Financials,31.03.80
FDX,FedEx,Industrials,31.12.80
PCAR,Paccar,Industrials,31.12.80
ADP,ADP,Information Technology,31.03.81
GWW,Grainger,Industrials,30.06.81
MAS,Masco,Industrials,30.06.81
ADM,ADM,Consumer Staples,29.07.81
WMT,Walmart,Consumer Staples,31.08.82
SNA,Snap-on,Industrials,30.09.82
SWK,Stanley Black & Decker,Industrials,30.09.82
BF.B,Brown–Forman,Consumer Staples,31.10.82
AAPL,Apple,Information Technology,30.11.82
OXY,Occidental Petroleum,Energy,31.12.82
CAG,Conagra Brands,Consumer Staples,31.08.83
BBWI,Bath & Body Works,Consumer Discretionary,30.09.83
T,AT&T,Communication Services,1983-11-30 (1957-03-04)
VZ,Verizon,Communication Services,30.11.83
LOW,Lowe's,Consumer Discretionary,29.02.84
PHM,PulteGroup,Consumer Discretionary,30.04.84
HES,Hess,Energy,31.05.84
LMT,Lockheed Martin,Industrials,31.07.84
HAS,Hasbro,Consumer Discretionary,30.09.84
BALL,Ball,Materials,31.10.84
APD,Air Products,Materials,30.04.85
NUE,Nucor,Materials,30.04.85
PKI,PerkinElmer,Health Care,31.05.85
NOC,Northrop Grumman,Industrials,30.06.85
CNP,CenterPoint Energy,Utilities,31.07.85
TJX,TJX Companies,Consumer Discretionary,30.09.85
DOV,Dover,Industrials,31.10.85
PH,Parker,Industrials,30.11.85
ITW,Illinois Tool Works,Industrials,28.02.86
MDT,Medtronic,Health Care,31.10.86
SYY,Sysco,Consumer Staples,31.12.86
MMC,Marsh & McLennan,Financials,31.08.87
AVY,Avery Dennison,Materials,31.12.87
HD,Home Depot,Consumer Discretionary,31.03.88
PNC,PNC Financial Services,Financials,30.04.88
C,Citigroup,Financials,31.05.88
NKE,Nike,Consumer Discretionary,30.11.88
